Name,Number,Type,Street,Quarter,Plan_number,Code
1789,144,Restaurant,Avenue Olympique,L'Illaz,4,,
4 Property,207,Agence Immobilière,Rue du Coin,Le Coin,7,,
4 Seasons,447,Restaurant,Rue de la Poste,Vieux Village,8,,
5 Frères Les,445,Hôtel,Montée du Bellevue,Vieux Village,8,,
Gème étoile,280,Commerce,Avenue Olympique,Le Thovex,7,,
AB Skishop,275,Commerce,Avenue Olympique,Les Lèches,7,,
Abade Al',400,Chalet,Rue de la Legettaz,La Legettaz,11,,
Abate L',139,Chalet,Accès par Avenue Olympique,L'Illaz,4,,
ABC Taxis,127,Taxis,Avenue Olympique,L'Illaz,4,,
Acajuma,656,Chalet,Chemin du Petit Alaska,Le Petit Alaska,5,,
Adonis L',82,Résidence,Route de la Balme,Le Bosset,4,849 A,
Adroit L',508,Ferme,Rue des Barmettes,L'Adroit,12,,
Agathe,227,Chalet,Montée de Bellevarde,Vers les Eaux,6,,
Agra,52,Chalet,Chemin de la Ruaz,Le Crêt,3,,
Aigle Blanc L',72,Résidence,Avenue Olympique,Le Clos,3,,
Aigle des Neige L',450,Hôtel,Rue de la Poste,Vieux Village,8,,
Aiglon L',190,Résidence,Route de la Balme,La Balme,6,1220 A,
Aire de Jeux pour Enfants,261,Aménagement,Rue Noel Machet,Les Lèches,7,,
Airelles Les,207,Résidence,Rue du Coin,Le Coin,7,,
Airelles Les,259,Chalet,Rue des Lèches,Les Lèches,7,,
Albaron L',192,Résidence,Route de la Balme,La Balme,6,6280 A,
Alexandra L',447,Bar/Restauration,Rue de la Poste,Vieux Village,8,,
Alice,187,Chalet,Route de la Balme,La Balme,6,,
Aliet,341,Résidence,Accès par Rue des Leissières,Le Rogoney,8,,
Alix,358,Chalet,Rue du Joseray,Le Joseray,10,,
Allianz,63,Bâtiment,Chemin du Cacholet,Le Crêt,3,,
Alpes (Chalet des),315,Chalet,Avenue Prariond,L'Illetaz,8,,
Alpes (Chalet les),233,Chalet,Montée de Bellevarde,Vers les Eaux,6,,
Alpha,386,Chalet,Accès par Rue du Joseray,Châtelard,11,,
Alpina Lodge L',279,Résidence,Avenue Olympique,Le Thovex,7,9876 A,
Alpine Experience,442,Ecole de Ski,Avenue du Prariond,Vieux Village,8,,
Altitude,352,Hôtel,Rue de la Face,Chantel,9,,
Alysson,399,Chalet,Rue de la Legettaz,La Legettaz,11,,
Amanda,514,Chalet,Route du Laisinant,Le Laisinant,13,6457A,
Amanlex,505,Chalet,Rue des Barmettes,L'Adroit,12,,
Amante,460,Chalet,Rue Nicolas Bazile,Vieux Village,8,A 4152,
Ambre,653,Chalet,Avenue du Prariond,Le Rogoney,8,,
Amigo,47,Chalet,Chemin de la Ruaz,Le Crêt,3,,
Amont Aval,448,Agence Immobilière,Rue de la Galise,Vieux Village,8,,
Amourette,106,Chalet,Accès par Route de la Balme,Le Petit Alaska,5,,
Ancolie L',349,Résidence,Rue des Leissières,Le Rogoney,8,328 A,
Andes Les,282,Résidence,Avenue Olympique,Le Thovex,7,1032 A,
André,28,Chalet,Rue de la Daille,La Daille,2,,
Anémones,401,Chalet,Rue de la Legettaz,La Legettaz,11,,
Anémones Les,121,Chalet,Avenue Olympique,Le Cacholet,3,,
Aponi,568,Organisation d'événements,Chemin de la Bayettaz,Le Fornet,15,,
Appache,380,Chalet,Accès par Rue du Joseray,Châtelard,11,,
Appaloosa,92,Chalet,Chemin du Petit Alaska,Le Petit Alaska,5,,
Aquaneva,348,Chalet,Rue des Célibataires,Le Rogoney,8,,
Aquila,435,Chalet,Rue du Cachay,Rond-Point des Pistes,9,2157 A,
Arabelle,397,Chalet,Rue de la Legettaz,La Legettaz,11,,
Arbine,37,Chalet,D902,La Daille,2,,
Arbre de Vie l',145,Restaurant,Avenue Olympique,L'Illaz,4,,
Archeboc,517,Chalet,Route du Laisinant,Le Laisinant,13,,
Arcoces Les,511,Résidence,Route du Laisinant,Le Laisinant,13,,
Arctic,306,Café Restauration,Place des Dolomites,Val Village,8,,
Arctic Café,146,Café/Restauration,Avenue Olympique,L'Illaz,4,,
Arolles Les,336,Résidence,Rue des Leissières,Le Front de Neige,8,2345,
